relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
20,3.970291913552122,5,0,3,4.007333185232471,0,3,2,24,10,1,1,1,8,13.0,10,-74.67604758896765,39.90251992966393
3,3.5553480614894135,5,0,1,3.295836866004329,1,1,2,35,30,0,0,1,1,14.0,10,-74.63440143513388,39.84301751504391
3,3.6109179126442243,2,1,1,3.367295829986474,0,1,5,35,30,0,0,1,1,13.0,11,-74.71737631523301,39.86185910956168
20,3.5263605246161616,5,0,2,3.713572066704308,1,1,5,3,21,0,0,0,10,4.0,6,-74.66409109112294,39.810874126860476
20,3.784189633918261,5,1,2,3.713572066704308,1,1,5,25,37,1,0,0,12,16.0,6,-74.72214482907769,39.84581153616691
20,3.58351893845611,2,1,1,3.9318256327243257,1,0,5,21,0,1,1,1,1,12.0,6,-74.69955679346067,39.87432292195697
20,3.58351893845611,2,1,1,3.9318256327243257,1,0,5,7,12,0,0,0,2,12.0,6,-74.76266251619207,39.874791156001955
16,3.8918202981106265,2,0,1,4.02535169073515,1,1,2,25,30,0,0,1,1,19.0,6,-74.67476378216001,39.92546763869567
20,3.258096538021482,5,1,0,3.828641396489095,1,1,2,7,30,0,0,1,1,0.0,1,-74.76506260140324,39.52202854289043
20,3.6375861597263857,5,1,1,4.02535169073515,1,1,5,41,0,0,0,1,1,19.0,6,-74.73997933434939,39.92464877594357
3,3.4011973816621555,5,0,1,3.4657359027997265,0,1,5,35,30,0,0,1,1,9.0,1,-74.70667309954811,39.488186439616754
20,3.6375861597263857,5,1,0,3.8066624897703196,2,3,4,31,37,1,0,0,12,2.0,7,-74.67376385732985,39.89717831222608
20,3.7376696182833684,2,0,0,3.8066624897703196,2,2,4,16,35,1,1,1,14,9.0,7,-74.74899786538795,39.96013716912478
20,3.7376696182833684,2,0,0,3.8066624897703196,2,2,4,1,7,0,0,0,5,9.0,7,-74.67765117559793,39.92295939581169
16,3.6375861597263857,5,0,0,3.4657359027997265,1,0,5,35,30,0,0,1,1,3.0,7,-74.71870514929577,39.94747635729448
8,3.295836866004329,5,1,1,3.295836866004329,1,1,5,35,30,0,0,1,1,13.0,1,-74.72425900787563,39.47637843814614
8,3.6888794541139363,5,0,1,3.091042453358316,1,1,2,35,4,1,1,1,3,19.0,1,-74.67168610399108,39.580179814119255
