relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
3,3.4657359027997265,2,1,1,3.1780538303479458,0,1,2,35,30,0,0,1,1,10.0,3.0,-74.66964826755991,39.54973509627639
3,3.4965075614664802,5,1,1,2.9444389791664403,0,1,5,25,34,1,1,0,12,19.0,3.0,-74.72060423116669,39.58126728375624
24,4.110873864173311,5,0,1,3.6109179126442243,1,1,5,35,1,1,1,0,12,8.0,4.0,-74.59438796407501,39.643511595904
24,4.110873864173311,5,0,1,3.6109179126442243,1,1,5,35,1,1,1,0,12,8.0,4.0,-74.68708506944836,39.41443038952662
3,3.4339872044851463,5,0,1,3.6109179126442243,1,0,5,35,18,0,0,1,1,17.0,2.0,-74.67488884618774,39.48385694819978
1,4.110873864173311,5,1,1,3.4339872044851463,1,1,5,20,1,1,1,0,12,16.0,4.0,-74.65736965173204,39.55509058977519
3,3.4339872044851463,2,0,0,3.6635616461296463,1,1,2,25,18,0,0,1,1,12.0,4.0,-74.69665982110702,39.52565795155345
24,4.30406509320417,1,0,1,3.295836866004329,1,1,1,25,1,1,1,0,12,9.0,4.0,-74.72235656682395,39.49240116867618
14,3.6375861597263857,2,0,1,2.772588722239781,1,1,2,24,33,1,0,1,17,10.0,4.0,-74.64369540373904,39.48630929552488
16,3.8918202981106265,3,0,1,4.07753744390572,1,1,3,35,30,0,0,1,1,12.0,4.0,-74.66253475924084,39.596992798347124
3,3.295836866004329,5,0,1,3.295836866004329,1,1,5,35,0,0,0,1,1,1.0,4.0,-74.66124632254444,39.58996384566876
20,3.4965075614664802,5,1,1,3.5263605246161616,1,1,2,2,33,1,0,1,17,12.0,4.0,-74.661685348493,39.52843267614628
3,3.332204510175204,5,0,1,3.4011973816621555,1,1,2,35,30,0,0,1,1,9.0,1.0,-74.7301065592122,39.871350428068666
20,3.4965075614664802,5,1,1,3.5263605246161616,1,1,2,24,33,1,0,1,17,2.0,4.0,-74.77477353456578,39.44297312545831
14,4.189654742026425,5,1,1,3.4339872044851463,1,1,5,35,34,1,1,0,12,9.0,1.0,-74.6914164639869,39.88804512479657
20,4.276666119016055,5,1,1,3.5553480614894135,1,1,5,35,4,1,1,1,3,9.0,4.0,-74.66436965024619,39.59934848749817
20,4.276666119016055,5,1,1,3.5553480614894135,1,1,5,35,4,1,1,1,3,9.0,4.0,-74.722073115657,39.52104355726946
10,3.9512437185814275,2,0,1,2.995732273553991,0,1,2,35,6,1,1,1,8,12.0,1.0,-74.58307028421902,39.774213712864764
1,3.6109179126442243,5,1,1,3.6375861597263857,1,1,5,24,7,1,0,1,5,2.0,1.0,-74.7723186479819,39.78851171868454
3,3.4965075614664802,1,0,0,3.4011973816621555,1,1,2,25,30,0,0,1,1,14.0,4.0,-74.63320981877618,39.55627175975974
3,3.7376696182833684,5,0,1,3.8501476017100584,1,1,5,35,30,0,0,1,1,4.0,1.0,-74.63983952528835,39.803373622473494
3,3.367295829986474,5,1,1,4.060443010546419,0,1,2,35,30,0,0,1,1,16.0,1.0,-74.68791498270063,39.8961197291476
1,3.5263605246161616,2,1,2,3.6888794541139363,0,2,2,35,21,1,1,1,13,1.0,2.0,-74.77352770181966,39.87724998729937
0,3.5553480614894135,2,0,1,3.6635616461296463,1,1,2,35,33,1,0,1,17,3.0,5.0,-74.7524939693508,39.51245359818217
24,3.4339872044851463,2,1,1,3.6109179126442243,1,1,2,24,30,0,0,1,1,5.0,2.0,-74.69404358960277,39.85941646887414
12,3.8066624897703196,5,1,1,4.110873864173311,1,1,5,35,34,1,1,0,12,17.0,4.0,-74.69076988326832,39.52870828030682
16,3.367295829986474,2,1,2,3.295836866004329,0,1,2,35,30,0,0,1,1,1.0,2.0,-74.68360034146545,39.924622772610995
20,3.332204510175204,5,1,1,4.02535169073515,1,1,2,23,30,0,0,1,1,16.0,5.0,-74.69622301488195,39.52976377822515
20,3.8066624897703196,5,0,1,3.970291913552122,1,1,2,35,1,1,1,0,12,14.0,2.0,-74.68420085151111,39.899813574098665
3,3.912023005428146,2,0,1,4.0943445622221,1,1,2,25,30,0,0,1,1,0.0,5.0,-74.67046784982779,39.52433216343974
3,3.4339872044851463,2,0,1,3.6635616461296463,1,1,2,35,0,0,0,1,1,2.0,2.0,-74.59319577389049,39.84375065534827
20,3.7376696182833684,2,0,1,3.7376696182833684,1,1,2,33,36,1,1,0,12,16.0,2.0,-74.66810254408736,39.944040410692764
0,3.4965075614664802,5,0,0,4.04305126783455,1,1,5,2,33,1,0,1,17,23.0,5.0,-74.76982623095832,39.46343856878958
3,3.1780538303479458,5,0,2,3.2188758248682006,1,1,5,35,30,0,0,1,1,3.0,2.0,-74.69659179622322,39.85988528265539
3,3.7612001156935624,5,0,1,3.784189633918261,1,1,5,35,7,1,0,1,5,12.0,2.0,-74.67687002246113,39.85295357072586
3,3.5263605246161616,2,0,1,3.713572066704308,1,1,2,25,30,0,0,1,1,19.0,5.0,-74.71904879793108,39.46627197144788
3,3.4657359027997265,2,0,1,3.5553480614894135,1,1,2,35,0,0,0,1,1,1.0,3.0,-74.7084012252511,39.90751109935945
