relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
16,4.2626798770413155,5,1,0,3.7612001156935624,0,0,5,25,30,0,0,1,1,8.0,11,-74.77139164364048,39.5019988229336
3,3.8066624897703196,3,0,3,3.871201010907891,1,1,2,35,0,0,0,1,1,20.0,11,-74.70054931186004,39.490445671498804
24,3.6635616461296463,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,11,-74.62112329072261,39.36270413793483
24,3.8501476017100584,2,0,1,3.5553480614894135,1,1,1,25,1,1,1,0,12,17.0,11,-74.87005213540598,39.54506384445798
23,3.5553480614894135,5,0,1,3.58351893845611,1,1,5,33,30,0,0,1,1,19.0,11,-74.70376411083893,39.564823837360194
3,4.290459441148391,5,1,1,4.189654742026425,0,1,5,35,18,0,0,1,1,5.0,11,-74.64609144366416,39.47399272088934
1,4.248495242049359,5,1,1,3.4011973816621555,1,1,5,35,30,0,0,1,1,10.0,11,-74.69361545275542,39.44713397504879
1,2.833213344056216,2,0,1,4.248495242049359,1,1,1,10,11,0,0,1,15,11.0,11,-74.63613794360684,39.52211050391155
24,3.6375861597263857,5,0,1,4.110873864173311,0,1,2,16,18,0,0,1,1,11.0,11,-74.69720453259214,39.49700670280973
14,3.9889840465642745,2,0,1,3.1780538303479458,0,1,2,35,18,0,0,1,1,22.0,11,-74.72426975386723,39.468731313434674
20,4.143134726391533,5,0,1,3.6888794541139363,0,1,5,31,1,1,1,0,12,15.0,11,-74.64542240322938,39.593876437752336
15,3.828641396489095,5,0,0,3.4965075614664802,0,0,5,35,30,0,0,1,1,16.0,12,-74.68187288410586,39.556972563021176
13,3.9318256327243257,5,0,1,4.394449154672439,0,1,5,35,30,0,0,1,1,0.0,12,-74.68845447366252,39.501141733934595
15,3.7612001156935624,5,1,1,3.912023005428146,1,1,5,35,30,0,0,1,1,11.0,12,-74.60907565874051,39.57102535913217
20,4.343805421853684,5,1,1,3.4011973816621555,1,1,5,35,10,1,1,1,8,11.0,12,-74.61340460135986,39.48028347123985
15,3.1780538303479458,0,0,1,3.332204510175204,1,1,0,35,30,0,0,1,1,15.0,12,-74.65134882206837,39.611771082758494
23,3.828641396489095,2,1,0,3.7612001156935624,0,1,5,33,20,0,0,1,11,10.0,12,-74.6751106716192,39.575605666727455
3,3.9512437185814275,5,1,1,3.713572066704308,0,1,5,25,30,0,0,1,1,3.0,12,-74.7457259508882,39.4548099849889
16,3.713572066704308,5,0,1,3.713572066704308,1,1,5,25,18,0,0,1,1,19.0,12,-74.7178132346299,39.57744862598426
24,4.248495242049359,5,0,1,3.6635616461296463,0,1,5,18,18,0,0,1,1,9.0,1,-74.73383733258675,39.497470164250664
20,3.7376696182833684,5,1,1,4.143134726391533,1,3,2,35,0,0,1,1,15,6.0,1,-74.67536631236935,39.920957933280654
20,3.7376696182833684,5,1,1,4.143134726391533,1,3,2,35,30,0,0,0,5,6.0,1,-74.63811194986172,39.914387711975046
20,3.7376696182833684,5,1,1,4.143134726391533,1,3,2,31,18,1,0,1,1,6.0,1,-74.6844759112749,39.924463553494746
15,3.784189633918261,2,0,3,3.912023005428146,1,1,2,9,0,0,0,1,1,15.0,1,-74.63468989808109,39.851497682395056
20,3.4657359027997265,5,0,1,3.7376696182833684,1,1,5,35,30,0,0,1,1,21.0,2,-74.80554353759413,39.88994571797248
20,3.2188758248682006,5,1,1,3.4339872044851463,1,1,2,35,30,0,0,1,5,9.0,2,-74.79419404210688,39.88918876030696
20,3.2188758248682006,5,1,1,3.4339872044851463,1,1,2,39,18,1,0,1,5,9.0,2,-74.7458083220607,39.752803980131596
20,3.2188758248682006,5,1,1,3.4339872044851463,1,1,2,13,11,0,0,1,1,9.0,2,-74.71935135236353,39.87618584839352
20,4.276666119016055,5,0,2,3.7612001156935624,1,1,5,35,1,1,1,0,12,18.0,2,-74.62767450269402,39.840433634860155
16,4.1588830833596715,5,0,1,4.382026634673881,1,1,5,35,30,0,0,1,1,2.0,7,-74.76425536745788,39.88796987779496
16,3.4657359027997265,5,0,1,3.4657359027997265,1,3,5,35,30,0,0,1,1,0.0,8,-74.71400030086673,39.910243387149315
20,4.276666119016055,5,0,1,4.02535169073515,1,3,2,18,29,1,0,0,12,11.0,10,-74.65559581887733,39.785384621678595
20,3.970291913552122,5,0,3,4.007333185232471,0,3,2,24,10,1,1,1,8,13.0,10,-74.60917725598571,39.82278722182866
3,3.5553480614894135,5,0,1,3.295836866004329,1,1,2,35,30,0,0,1,1,14.0,10,-74.76508374419306,39.91091386723371
3,3.6109179126442243,2,1,1,3.367295829986474,0,1,5,35,30,0,0,1,1,13.0,11,-74.62444137784702,39.76955625217795
20,3.5263605246161616,5,0,2,3.713572066704308,1,1,5,39,7,0,1,1,1,4.0,6,-74.71178966496878,39.807822350373804
20,3.784189633918261,5,1,2,3.713572066704308,1,1,5,25,37,1,0,0,12,16.0,6,-74.80390530398014,39.87953889022935
20,3.58351893845611,2,1,1,3.9318256327243257,1,0,5,13,1,0,0,1,12,12.0,6,-74.55186921671567,39.89097167251304
