data_year,weapon_id,offense_id,nibrs_weapon_id
2022,41,182655656,
2022,41,182655657,
2022,41,182655659,
2022,38,183967252,
2022,21,182655665,
2022,41,182655666,
2022,21,182655667,
2022,39,183967253,
2022,21,182655668,
2022,41,187012651,
2022,38,182655675,
2022,39,181534288,
2022,41,182655681,
2022,38,182655682,
2022,21,181312117,
2022,3,192457678,
2022,38,182655697,
2022,42,184172579,
2022,32,182655702,
2022,39,202125856,
2022,42,181476395,
2022,41,182655707,
2022,38,182655708,
2022,41,191001025,
2022,41,182655713,
2022,41,181408119,
2022,41,182655719,
2022,41,182655720,
2022,41,185728451,
2022,39,187016456,
2022,38,182655726,
2022,38,182655727,
2022,39,187016457,
2022,41,183897936,
2022,41,182655739,
2022,37,182655740,
2022,39,181522625,
2022,41,182643323,
2022,41,182655751,
2022,41,182655753,
2022,41,182655754,
2022,41,181440148,
2022,41,182655758,
2022,41,181440149,
2022,41,182993523,
2022,41,184370393,
2022,41,182993526,
2022,31,182993527,
2022,31,182993528,
2022,38,182993530,
2022,42,196976076,
2022,41,181408129,
2022,41,182993539,
2022,41,181482895,
2022,41,182993540,
2022,39,181458330,
2022,41,182993546,
2022,3,190959159,
2022,41,182993547,
2022,42,182993549,
2022,37,182993551,
2022,3,190959160,
2022,42,181449858,
2022,41,182993553,
2022,41,182993555,
2022,41,181494655,
2022,41,182993557,
2022,41,182993562,
2022,42,181458334,
2022,41,181764531,
2022,21,182993566,
2022,21,182993567,
2022,39,198429640,
2022,21,194315726,
2022,38,182993571,
2022,21,194315727,
2022,3,181748922,
2022,41,182643333,
2022,41,182993583,
2022,41,182993584,
2022,39,183908458,
2022,41,181449862,
2022,41,181534291,
2022,41,182993595,
2022,38,182993598,
2022,39,181606193,
2022,21,182993599,
2022,21,182993600,
2022,39,181476416,
2022,41,181476418,
2022,41,182993608,
2022,31,182643336,
2022,41,181494656,
2022,41,182993620,
2022,41,182993624,
2022,42,181476422,
2022,41,181606195,
2022,41,184337484,
2022,21,185202162,
2022,42,181476423,
2022,41,184337487,
2022,21,185202164,
2022,3,181534295,
2022,41,184337490,
2022,3,181534296,
2022,41,184337491,
2022,38,181482900,
2022,41,184337492,
2022,38,181482901,
2022,41,185202165,
2022,3,185783708,
2022,41,184337497,
2022,41,185783708,
2022,38,182643346,
2022,41,184337504,
2022,31,184337506,
2022,31,184337507,
2022,38,182643347,
2022,41,182643348,
2022,41,184337511,
2022,21,185704576,
2022,41,184337519,
2022,38,184337520,
2022,41,184337522,
2022,41,184337527,
2022,38,184337528,
2022,41,184337529,
2022,41,184337533,
2022,41,184337538,
2022,41,184337543,
2022,37,184337549,
2022,41,184337557,
2022,41,184337561,
2022,42,184337566,
2022,41,184337570,
2022,41,184337572,
2022,41,184337573,
2022,41,184337574,
2022,21,186139831,
2022,41,186139832,
2022,41,186139837,
2022,41,186139840,
2022,41,186139846,
2022,41,186139847,
2022,41,186139850,
2022,41,186139851,
2022,41,186139854,
2022,1,186139855,
2022,41,186139864,
2022,32,186139867,
2022,37,186139870,
2022,41,186139876,
2022,21,186139877,
2022,21,186139878,
2022,21,186139881,
2022,41,186139885,
2022,21,186139888,
2022,21,186139889,
2022,41,186139892,
2022,21,186139895,
2022,41,186139898,
2022,38,186139901,
2022,38,186139902,
2022,41,186139903,
2022,41,186139904,
2022,21,185704577,
2022,39,184280440,
2022,41,190630356,
2022,38,187778359,
2022,41,187778362,
2022,42,182643357,
2022,41,187778366,
2022,41,187778381,
2022,41,187778382,
2022,21,182643360,
2022,39,194315728,
2022,21,187778389,
2022,41,187778390,
2022,31,182643365,
2022,31,182643366,
2022,41,183461115,
2022,21,185776558,
2022,41,187778406,
2022,41,187778408,
2022,41,187778410,
2022,41,187778411,
2022,41,187778425,
2022,41,187778426,
2022,41,187778437,
2022,41,187778443,
2022,41,187778449,
2022,1,187778450,
2022,1,187778451,
2022,1,187778460,
2022,38,187778483,
2022,41,187778485,
2022,42,187778490,
2022,42,189313551,
2022,41,189313553,
2022,32,189313556,
2022,41,189313558,
2022,3,189313565,
2022,41,189313576,
2022,37,189313577,
2022,41,189313581,
2022,41,182643369,
2022,21,182643371,
2022,41,185776561,
2022,3,187012656,
2022,3,187012657,
2022,41,185783709,
2022,41,190184626,
2022,3,181664333,
2022,42,182708784,
2022,41,181664335,
2022,41,182643381,
2022,21,181764533,
2022,41,187860107,
2022,41,182643382,
2022,37,189313583,
2022,41,189371712,
2022,41,189313584,
2022,41,189313585,
2022,41,189313587,
2022,41,189313589,
2022,41,185783713,
2022,42,185202170,
2022,41,185202171,
2022,21,189425494,
2022,1,189313595,
2022,41,189313597,
2022,3,189313603,
2022,41,189313614,
2022,39,194315734,
2022,21,181664344,
2022,3,189193566,
2022,42,183073770,
2022,41,186139769,
2022,41,190437984,
2022,3,189155081,
2022,41,183158785,
2022,41,185198392,
2022,41,182643423,
2022,42,187310925,
2022,41,186066752,
2022,41,188977848,
2022,41,182643427,
2022,39,184280441,
2022,39,185133940,
2022,39,185783716,
2022,39,199733663,
2022,39,182643434,
2022,21,189313616,
2022,41,189313617,
2022,41,182643438,
2022,41,186066754,
2022,41,189313624,
2022,41,186066758,
2022,42,189313631,
2022,38,182643443,
2022,41,189313634,
2022,31,189313635,
2022,21,182643444,
2022,39,189313639,
2022,41,186066760,
2022,39,189313640,
2022,41,189313644,
2022,41,189313645,
2022,3,182643450,
2022,3,183895839,
2022,32,189313654,
2022,3,189313657,
2022,21,192554227,
2022,41,189313663,
2022,42,189313667,
2022,41,189313671,
2022,39,189313673,
2022,3,189313674,
2022,32,189313679,
2022,41,189313685,
2022,41,189313691,
2022,41,189313693,
2022,41,192554228,
2022,41,194315738,
2022,41,183984607,
2022,41,183984608,
2022,41,187390616,
2022,39,182643460,
2022,41,186040810,
2022,39,182905756,
2022,3,182643475,
2022,21,182643477,
2022,41,182643492,
2022,41,189313701,
2022,41,189313703,
2022,41,182795475,
2022,3,182643502,
2022,41,185631002,
2022,41,183908462,
2022,39,186333558,
2022,31,186333559,
2022,41,182643516,
2022,21,182643518,
2022,21,182643520,
2022,41,182655999,
2022,38,182643526,
2022,42,191870207,
2022,39,187016459,
2022,41,183073775,
2022,41,191835888,
2022,41,182643535,
2022,41,182643537,
2022,3,189432246,
2022,3,183895841,
2022,31,182643551,
2022,31,182643553,
2022,3,198429654,
2022,41,182643559,
2022,41,186309702,
2022,39,196484370,
2022,39,189313711,
2022,39,184088439,
2022,41,182643572,
2022,41,189313718,
2022,37,190732886,
2022,41,190732888,
2022,21,190732890,
2022,41,190732891,
2022,41,190732892,
2022,41,190732895,
2022,41,190732904,
2022,41,190732922,
2022,42,182643575,
2022,41,182643582,
2022,3,187763711,
2022,3,186309703,
2022,1,188655270,
2022,41,183737606,
2022,3,199501303,
2022,3,199501304,
2022,41,182643592,
2022,21,183217956,
2022,41,182795477,
2022,42,196411884,
2022,42,185659474,
2022,42,183687048,
2022,42,182643604,
2022,41,183158790,
2022,41,183158791,
2022,21,184280444,
2022,21,184280445,
2022,41,182708790,
2022,41,182643612,
2022,41,185198398,
2022,3,198508737,
2022,3,198508738,
2022,3,183897938,
2022,38,186309705,
2022,42,190437985,
2022,41,186207307,
2022,37,190732923,
2022,41,187310929,
2022,41,185200528,
2022,38,182643616,
2022,41,183217957,
2022,32,182938743,
2022,42,185197902,
2022,41,187390622,
2022,42,187638767,
2022,42,182880538,
2022,41,198429661,
2022,41,183217962,
2022,41,185293036,
2022,41,186333566,
2022,42,198429662,
2022,3,190732924,
2022,31,189432247,
2022,41,182880540,
2022,3,190732925,
2022,41,183687050,
2022,38,190408718,
2022,41,190732927,
2022,41,190732932,
2022,42,190732933,
2022,32,190732937,
2022,42,187012664,
2022,41,182795506,
2022,41,187390625,
2022,3,190769778,
2022,41,186207310,
2022,41,187638769,
2022,41,182905768,
2022,41,186157771,
2022,41,191134877,
2022,41,186207311,
2022,41,183687054,
2022,41,187225025,
2022,39,189423669,
2022,41,182938751,
2022,3,187012665,
2022,3,187012666,
2022,41,187012667,
2022,41,183073785,
2022,41,183687056,
2022,21,183387663,
2022,39,186333570,
2022,41,183992109,
2022,3,188796538,
2022,3,183687060,
2022,41,184370403,
2022,39,183073794,
2022,39,183073796,
2022,41,187027394,
2022,41,183387664,
2022,41,183944637,
2022,31,185631005,
2022,31,185631008,
2022,41,183073797,
2022,41,187638770,
2022,41,183073798,
2022,39,183461131,
2022,41,188890874,
2022,41,190732941,
