data_year,bias_id,offense_id
2022,88,194744774
2022,88,196809203
2022,88,196809204
2022,88,194720240
2022,88,194720241
2022,88,195429531
2022,88,195429532
2022,88,194764288
2022,88,195284090
2022,88,194744775
2022,88,195466545
2022,88,195153997
2022,88,196809205
2022,88,195284091
2022,88,198680838
2022,88,195346882
2022,88,195115956
2022,88,196480722
2022,88,195115957
2022,88,195375207
2022,88,195375208
2022,88,195778069
2022,88,196809207
2022,88,196809208
2022,88,195778070
2022,88,196809209
2022,88,195466546
2022,88,195466547
2022,88,195346884
2022,88,195169239
2022,88,199528174
2022,88,199172084
2022,88,202033041
2022,88,202033042
2022,88,195873266
2022,88,196809210
2022,88,196809211
2022,88,195429533
2022,88,195466548
2022,88,195778071
2022,88,196809212
2022,88,195375209
2022,88,195623419
2022,88,199439473
2022,88,196809213
2022,88,196809214
2022,88,196809215
2022,88,202474407
2022,88,178053261
2022,88,198422211
2022,88,198422212
2022,88,202969145
2022,88,178053262
2022,88,178053263
2022,88,178053264
2022,88,178780438
2022,88,178780439
2022,88,178780440
2022,88,178780441
2022,88,178780442
2022,88,178780443
2022,88,178780444
2022,88,178780445
2022,88,178780446
2022,88,178780447
2022,88,178780448
2022,88,178780449
2022,88,178780450
2022,88,178780451
2022,88,178780452
2022,88,178780453
2022,88,178780454
2022,88,178780456
2022,88,178780457
2022,88,178780458
2022,88,178780459
2022,88,178780460
2022,88,178780461
2022,88,178780462
2022,88,178780463
2022,88,178780465
2022,88,178830971
2022,88,188666969
2022,88,188666970
2022,88,188666971
2022,88,188666972
2022,88,188666973
2022,88,188666974
2022,88,188666975
2022,88,188666976
2022,88,188666977
2022,88,188666978
2022,88,188666979
2022,88,188666980
2022,88,188666981
2022,88,188666982
2022,88,188666983
2022,88,188666984
2022,88,188666985
2022,88,188666986
2022,88,188666987
2022,88,188666988
2022,88,188666989
2022,88,188666990
2022,88,188666991
2022,88,188666992
2022,88,188666993
2022,88,188666994
2022,88,188666995
2022,88,188666996
2022,88,188666997
2022,88,188666998
2022,88,188666999
2022,88,188667000
2022,88,188667001
2022,88,188667002
2022,88,188667003
2022,88,188667004
2022,88,188667005
2022,88,188667006
2022,88,188667007
2022,88,188667008
