data_year,victim_id,offense_id
2022,174332021,188667013
2022,174332022,188667014
2022,174332023,188667015
2022,174332023,188667016
2022,174332024,188667017
2022,174332025,188667018
2022,174332025,188667019
2022,174332026,188667020
2022,174332027,188667021
2022,174332028,188667022
2022,174332029,188667023
2022,174332030,188667024
2022,174332031,188667025
2022,174332032,188667026
2022,174332033,188667027
2022,174332034,188667028
2022,174332035,188667029
2022,174332036,188667029
2022,174332037,188667030
2022,174332038,188667030
2022,174332039,188667031
2022,174332040,188667032
2022,174332041,188667033
2022,181020213,195375209
2022,174332042,188667034
2022,174332043,188667035
2022,174332044,188667036
2022,174332045,188667037
2022,181267921,195623419
2022,174332046,188667038
2022,174332047,188667038
2022,185080957,199439473
2022,174332048,188667039
2022,174332049,188667040
2022,174332050,188667041
2022,174332051,188667042
2022,174332052,188667043
2022,174332053,188667044
2022,174332054,188667045
2022,174332055,188667046
2022,174332056,188667047
2022,174332057,188667048
2022,174332058,188667049
2022,174332059,188667050
2022,174332060,188667051
2022,174332061,188667052
2022,174332062,188667053
2022,174332063,188667054
2022,174332064,188667055
2022,174332065,188667056
2022,174332066,188667057
2022,174332067,188667058
2022,174332068,188667059
2022,174332069,188667061
2022,174332070,188667061
2022,174332071,188667060
2022,174332072,188667062
2022,174332073,188667063
2022,174332074,188667064
2022,174332075,188667065
2022,174332076,188667066
2022,174332077,188667067
2022,174332078,188667068
2022,174332079,188667069
2022,174332080,188667070
2022,174332081,188667071
2022,174332082,188667072
2022,174332082,188667073
2022,174332083,188667074
2022,174332084,188667075
2022,174332085,188667076
2022,174332086,188667077
2022,174332087,188667078
2022,174332088,188667079
2022,174332089,188667080
2022,174332090,188667081
2022,174332091,188667082
2022,174332092,188667083
2022,174332093,188667084
2022,174332094,188667085
2022,174332095,188667086
2022,174332096,188667087
2022,174332097,188667089
2022,174332098,188667088
2022,174332099,188667090
2022,174332100,188667091
2022,174332101,188667092
2022,174332102,188667093
2022,174332103,188667094
2022,174332104,188667095
2022,174332105,188667096
2022,174332106,188667097
2022,174332107,188667098
2022,174332108,188667099
2022,174332109,188667100
2022,174332110,188667102
2022,174332111,188667102
2022,174332112,188667101
2022,174332113,188667104
2022,174332114,188667104
2022,174332115,188667104
2022,174332116,188667104
2022,174332117,188667104
2022,174332118,188667104
2022,174332119,188667103
2022,174332120,188667105
2022,174332121,188667106
2022,174332122,188667107
2022,174332123,188667108
2022,174332124,188667109
2022,174332125,188667110
2022,174332126,188667110
2022,174332127,188667111
2022,174332128,188667112
2022,174332129,188667112
2022,174332130,188667113
2022,174332131,188667114
2022,174332132,188667115
2022,174332133,188667116
2022,174332134,188667117
2022,176794117,191132732
2022,176794117,191132733
2022,176794118,191132734
2022,176794119,191132735
2022,176794120,191132736
2022,176794124,191132738
2022,176794125,191132739
2022,176794126,191132740
2022,176794127,191132741
2022,176794128,191132742
2022,176794129,191132743
2022,176794130,191132744
2022,176794131,191132745
2022,176794132,191132746
2022,176794133,191132747
2022,176794134,191132748
2022,176794135,191132749
2022,176794136,191132749
2022,176794137,191132749
2022,176794137,191132750
2022,176794138,191132751
2022,176794139,191132752
2022,176794140,191132753
2022,176794141,191132754
2022,176794142,191132755
2022,176794142,191132756
2022,176794143,191132757
2022,176794144,191132758
2022,176794145,191132759
2022,176794146,191132760
2022,176794147,191132762
2022,176794148,191132761
2022,176794149,191132764
2022,176794150,191132763
2022,176794151,191132765
2022,176794152,191132766
2022,176794153,191132767
2022,176794153,191132768
2022,176794154,191132769
2022,176794155,191132770
2022,176794156,191132771
2022,176794157,191132772
2022,176794158,191132773
2022,176794159,191132774
2022,176794160,191132775
2022,176794161,191132776
2022,176794162,191132777
2022,176794163,191132778
2022,176794164,191132779
2022,176794165,191132780
2022,176794165,191132781
2022,176713772,191053829
2022,176713773,191053830
2022,176713775,191053833
2022,176713776,191053833
2022,176713777,191053834
2022,176713779,191053836
2022,176713780,191053837
2022,176713782,191053839
2022,176713783,191053840
2022,176713785,191053842
2022,176713786,191053843
2022,176713787,191053844
2022,176713789,191053846
2022,176713790,191053847
2022,176713792,191053849
2022,176713794,191053851
2022,176713796,191053853
2022,176713797,191053854
2022,176713799,191053856
2022,176713800,191053857
2022,176713802,191053859
2022,176713803,191053860
2022,176713805,191053862
2022,176713806,191053863
2022,176713808,191053865
2022,176713809,191053866
2022,176713810,191053867
2022,176713812,191053869
2022,176713813,191053870
2022,176713816,191053872
2022,176713817,191053873
2022,176713818,191053874
2022,176713819,191053874
2022,176713821,191053876
2022,176713822,191053877
2022,176713824,191053879
2022,176713825,191053880
2022,176713827,191053882
2022,176713828,191053883
2022,176713830,191053885
2022,176713831,191053886
2022,176713833,191053888
2022,176713834,191053889
2022,176713836,191053891
2022,176713837,191053891
2022,177672569,192017158
2022,177672570,192017157
2022,177672571,192017159
2022,177672572,192017160
2022,177672573,192017161
2022,177672574,192017162
2022,177672575,192017163
2022,177672576,192017164
2022,177672577,192017165
2022,177672578,192017166
2022,177672579,192017167
2022,177672580,192017168
2022,177672581,192017169
2022,177672581,192017170
2022,177672582,192017171
2022,177672583,192017172
2022,177672584,192017173
2022,177672585,192017174
2022,177672586,192017175
2022,177672587,192017176
2022,177672588,192017177
2022,177672589,192017178
2022,177672590,192017180
2022,177672591,192017179
2022,177672592,192017181
2022,177672593,192017182
2022,177672594,192017183
2022,177672595,192017184
2022,177672596,192017185
2022,177672597,192017186
2022,177672598,192017187
2022,177672601,192017190
