data_year,criminal_act_id,offense_id
2022,9,181449854
2022,9,185666720
2022,9,180949140
2022,9,180949141
2022,6,181286902
2022,6,181286903
2022,6,181286904
2022,9,187279635
2022,9,187352067
2022,9,181408114
2022,9,181286905
2022,9,185566965
2022,6,198331639
2022,6,185566966
2022,9,185666721
2022,9,187390613
2022,6,187390614
2022,9,180573774
2022,6,194326978
2022,5,194326985
2022,6,194326986
2022,6,194326988
2022,6,194327002
2022,6,194327003
2022,6,194327008
2022,6,194327009
2022,6,194327013
2022,8,194327014
2022,6,194327015
2022,6,194327016
2022,6,194327045
2022,6,194327058
2022,8,194327059
2022,6,194327063
2022,6,194327064
2022,6,195129446
2022,6,195129448
2022,6,195129449
2022,9,180573777
2022,6,195129456
2022,8,195129457
2022,6,195129462
2022,9,180949143
2022,6,195129463
2022,6,195129465
2022,9,180949144
2022,6,195129467
2022,6,195129468
2022,9,190630355
2022,6,195129469
2022,9,202049329
2022,3,195129474
2022,3,195129475
2022,6,195129477
2022,6,195129481
2022,6,195129482
2022,9,190179211
2022,6,194327065
2022,6,194327078
2022,6,194327090
2022,6,198378358
2022,6,198378359
2022,9,185713464
2022,9,183967252
2022,8,183967253
2022,9,187012651
2022,9,181534288
2022,9,181312117
2022,6,198378363
2022,6,198378364
2022,6,198378367
2022,9,198378368
2022,6,198378373
2022,8,198378374
2022,6,198378375
2022,6,198378381
2022,8,198378382
2022,1,198378388
2022,6,187012652
2022,3,187012653
2022,6,192457678
2022,9,184172579
2022,9,181424473
2022,9,202125856
2022,6,181476395
2022,9,191001025
2022,9,181408119
2022,9,185728451
2022,9,187016456
2022,8,187016457
2022,9,181440143
2022,9,183897936
2022,9,181522625
2022,9,181408125
2022,9,182643323
2022,9,181440148
2022,9,181440149
2022,9,184370393
2022,9,196976076
2022,9,181408129
2022,9,181482895
2022,9,181458330
2022,9,190959159
2022,6,190959160
2022,9,181449858
2022,10,181494655
2022,9,181458334
2022,9,181764531
2022,9,198429640
2022,1,181522629
2022,9,194315726
2022,6,194315727
2022,9,185666722
2022,9,181748922
2022,6,198378390
2022,8,198378391
2022,6,198378398
2022,3,198378401
2022,3,198378402
2022,3,198378403
2022,6,198378406
2022,6,198378409
2022,6,198378416
2022,6,198378417
2022,6,198378418
2022,8,198378418
2022,9,181482897
2022,9,182643333
2022,9,183908458
2022,9,181449862
2022,9,181534291
2022,9,181458337
2022,9,181606193
2022,9,181476416
2022,9,181476418
2022,9,182643336
2022,9,181494656
2022,9,181476422
2022,9,181606195
2022,9,185202161
2022,6,185202162
2022,9,181476423
2022,9,185202163
2022,6,185202164
2022,9,181534295
2022,8,181534296
2022,9,181482900
2022,6,181482901
2022,9,185202165
2022,9,185783708
2022,9,182643346
2022,6,182643347
2022,9,182643348
2022,9,185704576
2022,7,190577778
2022,3,190577780
2022,6,190577780
2022,3,190577781
2022,6,194327341
2022,8,185704577
2022,6,194327349
2022,2,194327350
2022,9,184280440
2022,9,190630356
2022,4,202778316
2022,9,185202167
2022,9,182643357
2022,9,182643358
2022,6,182643360
2022,9,194315728
2022,9,182643365
2022,6,182643366
2022,9,183461115
2022,9,185776558
2022,6,202778320
2022,6,202778323
2022,9,182643369
2022,9,182643370
2022,6,182643371
2022,9,183908459
2022,9,185776561
2022,9,181522635
2022,9,187012656
2022,6,187012657
2022,9,185783709
2022,9,190184626
2022,6,181664332
2022,6,181664333
2022,9,182643376
2022,3,198597424
2022,6,198597424
2022,3,181310787
2022,6,182649093
2022,9,182708784
2022,9,181664335
2022,6,185928464
2022,9,182795474
2022,9,182643381
2022,9,181764533
2022,9,187860107
2022,9,182643382
2022,9,189371712
2022,6,182649094
2022,6,181310832
2022,9,185783713
2022,6,181664337
2022,9,185202170
2022,6,182703348
2022,9,185202171
2022,9,182643394
2022,9,202956879
2022,3,182643397
2022,3,199239984
2022,6,182703370
2022,9,189425494
2022,6,182643402
2022,1,182703378
2022,9,194315734
2022,9,181664343
2022,6,182703385
2022,6,182703386
2022,6,181664344
2022,9,181664345
2022,9,189193566
2022,3,182703416
2022,6,183382515
2022,6,183382544
2022,1,183382545
2022,6,183382567
2022,3,183382568
2022,6,183382569
2022,6,183382570
2022,6,183382571
2022,6,183382575
2022,6,183382578
2022,6,183382582
2022,6,184474138
2022,6,184474164
2022,6,184474175
2022,6,184474176
2022,5,184474187
2022,9,183073770
2022,3,186377332
2022,6,186377332
2022,9,186139769
2022,9,190437984
2022,9,182643415
2022,6,189155079
2022,6,186377335
2022,3,186377379
2022,6,186377379
2022,9,186377411
2022,6,186377426
2022,6,186377446
2022,6,186377462
2022,6,187778511
2022,1,187778522
2022,6,187778525
2022,8,187778525
2022,6,187778564
2022,6,187778566
2022,6,189155080
2022,6,189155081
2022,6,189361150
2022,1,189361157
2022,6,189361157
2022,9,183158785
2022,9,185198392
2022,1,198429648
2022,5,198429648
2022,9,182643423
2022,9,187310925
2022,9,186066752
2022,9,188977848
2022,9,182643427
2022,9,184280441
2022,9,185133940
2022,9,185783716
2022,1,199733662
2022,6,199733663
2022,9,182643434
2022,3,182643437
2022,9,182643438
2022,9,186066754
2022,9,186066758
2022,9,182643443
2022,8,182643444
2022,9,198429651
2022,9,186066760
2022,9,182643450
2022,6,183895839
2022,9,192554227
2022,9,192554228
2022,9,194315738
2022,9,183984607
2022,9,183984608
2022,9,187390616
2022,6,182643460
2022,9,182643462
2022,8,189361159
2022,9,186040810
2022,9,182905756
2022,6,189361165
2022,6,182643475
2022,9,182643476
2022,6,182643477
2022,9,182643478
2022,9,182643479
2022,3,182905757
2022,6,189361197
2022,9,182643492
2022,6,189361206
2022,9,182795475
2022,1,189361210
2022,1,189361211
2022,9,182643500
2022,6,182643502
2022,9,186139775
2022,9,185631002
2022,9,182655998
2022,9,183908462
2022,9,186333558
2022,6,186333559
2022,9,182643516
2022,6,182643518
2022,9,182643519
2022,6,182643520
2022,9,182655999
2022,9,182643526
2022,3,184280442
2022,9,191870207
2022,1,187016458
2022,6,187016459
2022,9,183073775
2022,9,191835888
2022,3,195148382
2022,9,182643535
