data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,49360226,,51
2022,49360227,,51
2022,49360228,,51
2022,49360229,,51
2022,49360230,,51
2022,49827873,,51
2022,49827874,,51
2022,49827875,,51
2022,49827876,,51
2022,49827877,,51
2022,49827878,,51
2022,49827879,,51
2022,49827880,,51
2022,49827881,,51
2022,47774741,,51
2022,47774742,,51
2022,47774745,,51
2022,47774748,,51
2022,47774749,,51
2022,47774750,,51
2022,47774751,,51
2022,47774752,,51
2022,47991062,,51
2022,47991063,,51
2022,47991064,,51
2022,47991065,,51
2022,47991066,,51
2022,47991067,,51
2022,47991068,,51
2022,47991069,,51
2022,47991070,,51
2022,47991071,,51
2022,47991072,,51
2022,47991073,,51
2022,47991074,,51
2022,47991075,,51
2022,47991076,,51
2022,47991077,,51
2022,47991078,,51
2022,47991079,,51
2022,47774754,,51
2022,47774755,,51
2022,47774756,,51
2022,47774757,,51
2022,47774758,,51
2022,47774760,,51
2022,47774762,,51
2022,47774764,,51
2022,47774765,,51
2022,47774766,,51
2022,47959833,,51
2022,47959834,,51
2022,47959835,,51
2022,47959837,,51
2022,47959838,,51
2022,47959839,,51
2022,47959840,,51
2022,47959841,,51
2022,47959842,,51
2022,48179254,,51
2022,48179255,,51
2022,48749278,,51
2022,48179256,,51
2022,48179257,,51
2022,48179258,,51
2022,48179260,,51
2022,48179261,,51
2022,48749279,,51
2022,48749280,,51
2022,49360294,,51
2022,49360299,,52
2022,49360309,,51
2022,49360315,,51
2022,49360316,,51
2022,49360318,,51
2022,49360319,,51
2022,49827883,,51
2022,49827884,,51
2022,49827885,,3
2022,49827886,,51
2022,49827887,,51
2022,47770025,,51
2022,47770026,,51
2022,47770027,,51
2022,47770028,,51
2022,47770588,,51
2022,47770590,,51
2022,47770591,,51
2022,47174022,,51
2022,44904450,,51
2022,44904451,,51
2022,44982773,,51
2022,45564172,,51
2022,45002924,,51
2022,45031035,,51
2022,47674822,,51
2022,47011603,,51
2022,48140716,,51
2022,48140717,,51
2022,47770592,,51
2022,47770593,,51
2022,47770594,,51
2022,47770595,,51
2022,47770596,,51
2022,47770598,,51
2022,47770599,,51
2022,47770600,,51
2022,47770601,,51
2022,47770602,,51
2022,47770603,,51
2022,47770605,,51
2022,47770606,,51
2022,47770607,,51
2022,47770608,,51
2022,47770609,,51
2022,47770610,,51
2022,47770611,,51
2022,47787125,,51
2022,47787126,,51
2022,47787127,,51
2022,47787128,,51
2022,47787129,,51
2022,48170820,,51
2022,48170821,,51
2022,48170822,,51
2022,48170823,,52
2022,48502785,,51
2022,48502786,,51
2022,48502787,,51
2022,48502788,,51
2022,48502790,,51
2022,48502791,,52
2022,49360410,,51
2022,49360411,,51
2022,47449518,,51
2022,47449519,,51
2022,47174023,,51
2022,47670208,,51
2022,47194037,,51
2022,45331649,,51
