data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,12,151902274,1.000,3,13171902
2022,8,151902296,8.000,9,13171903
2022,8,151902313,1.000,11,13171905
2022,4,152725226,1.000,9,13292185
2022,16,152725235,1.000,1,13292186
2022,8,152725236,1.000,1,13292187
2022,4,154151528,1.000,11,13516992
2022,8,154151569,1.000,1,13517002
2022,5,154151601,13.000,4,13517006
2022,4,160130450,50.000,9,14350643
2022,2,155211346,1.000,11,13669944
2022,1,155211355,1.000,11,13669945
2022,12,155200531,22.000,1,13668581
2022,1,156764863,34.000,1,13886462
2022,16,156764863,4.000,1,13886463
2022,17,163420983,11.000,9,14786134
2022,2,156396022,1.000,3,13834200
2022,8,155770627,75.000,9,13753001
2022,4,160918310,4.000,9,14461245
2022,4,155366581,43.500,9,13687564
2022,2,157537365,1.000,3,14000735
2022,1,155770636,57.000,1,13753002
2022,1,156326318,2.200,1,13826272
2022,2,157537383,1.000,1,14000736
2022,5,157537385,1.000,11,14000737
2022,4,160139616,1.000,11,14351102
2022,12,160139617,1.000,11,14351103
2022,1,155984708,1.000,1,13778935
2022,2,160139670,1.000,11,14351104
2022,16,155871727,1.000,11,13768648
2022,4,155996981,78.000,1,13780907
2022,8,156130827,1.000,11,13799436
2022,2,156063748,11.000,1,13790329
2022,4,155943281,1.000,1,13772981
2022,8,155943281,46.000,1,13772982
2022,4,157403604,24.300,1,13980039
2022,16,157403604,3.000,1,13980040
2022,4,156049134,10.000,1,13788503
2022,4,156882065,3.000,1,13900907
2022,4,152542477,17.000,9,13266403
2022,17,153655487,3.000,9,13438662
2022,5,154922024,5.000,4,13629164
2022,4,158250844,1.000,9,14092125
2022,4,158250854,1.000,1,14092126
2022,2,156209225,3.000,1,13811951
2022,4,160774715,2.000,9,14439421
2022,11,162129383,1.000,3,14625642
2022,4,153331717,6.000,9,13392156
2022,10,153331717,7.000,9,13392157
2022,4,156349544,105.000,1,13829045
2022,1,156349544,5.000,9,13829046
2022,1,156982538,2.000,1,13914438
2022,4,156349546,10.000,1,13829047
2022,5,156388153,1.000,1,13832763
2022,4,157540708,11.000,9,14001061
2022,4,157540714,1.000,9,14001062
2022,12,157540717,1.000,9,14001063
