data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,160977978,47,0,,
2022,160977978,63,330,,
2022,160481743,36,220,,
2022,161006282,8,5,2022-12-17,
2022,161006283,8,5,,
2022,160772069,54,20,2022-12-14,
2022,160772070,54,520,,
2022,160866970,25,1,,
2022,160915369,63,6,2022-12-19,
2022,160915370,63,6,,
2022,160743249,38,50,,
2022,161006284,3,35000,2022-12-24,
2022,161006285,11,1,,
2022,160783245,6,59,,
2022,155880394,9,0,,
2022,155880394,10,1,,
2022,155880394,63,0,,
2022,160783245,63,116,,
2022,163791176,16,2,,
2022,155880395,6,1569,,
2022,155880396,38,400,,
2022,161316704,20,2700,,
2022,155880397,50,49,,
2022,155880398,31,300,,
2022,160977979,19,51,,
2022,155880399,20,5,2022-01-15,
2022,160937281,36,99,2022-12-30,
2022,155880400,20,30,,
2022,155880401,63,108,,
2022,155880402,9,0,,
2022,155880402,20,40,,
2022,155880402,25,25,,
2022,155880402,51,0,,
2022,160937282,36,99,,
2022,166306803,20,2500,,
2022,155880403,9,0,,
2022,155880403,51,0,,
2022,155880403,63,10,,
2022,155880404,9,0,,
2022,155880405,20,700,,
2022,155880406,3,32920,2022-01-22,
2022,155880407,9,0,,
