data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,174332085,179096464,24,
2022,176923398,181648152,21,
2022,174332086,179096465,24,
2022,174332087,179096466,16,
2022,176923399,181648153,24,
2022,174332089,179096468,24,
2022,176923400,181648154,24,
2022,176923401,181648155,16,
2022,174332091,179096470,26,
2022,174332092,179096471,3,
2022,176923402,181648156,5,
2022,174332093,179096472,3,
2022,177010248,181733338,16,
2022,174332095,179096474,21,
2022,174332096,179096475,24,
2022,174332097,179096476,24,
2022,174332099,179096477,24,
2022,177306858,182029277,24,
2022,174332101,179096479,24,
2022,174332101,179096480,24,
2022,174332102,179096481,24,
2022,174332102,179096482,24,
2022,174332103,179096483,1,
2022,174332103,179096484,1,
2022,174332103,179096485,1,
2022,174332103,179096486,1,
2022,174332104,179096487,24,
2022,174332105,179096488,1,
2022,174332105,179096489,1,
2022,174332106,179096490,24,
2022,177306870,182029289,16,
2022,174332107,179096491,17,
2022,174332108,179096492,3,
2022,177306879,182029299,16,
2022,174332120,179096496,3,
2022,177306884,182029304,3,
2022,177312180,182034434,24,
2022,174332130,179096504,1,
2022,174332131,179096505,1,
2022,177312180,182034435,24,
2022,174332132,179096506,3,
2022,177448088,182166129,24,
2022,176794118,181524521,24,
2022,177448089,182166129,24,
2022,177448090,182166130,24,
2022,176794124,181524525,18,
2022,177450917,182169014,24,
2022,176794126,181524527,16,
2022,176794127,181524528,3,
2022,176794130,181524531,3,
2022,176794131,181524532,24,
2022,176794137,181524536,24,
2022,176794137,181524537,24,
2022,176794138,181524538,16,
2022,176794140,181524540,3,
2022,176794141,181524541,18,
2022,176794144,181524544,21,
2022,176794145,181524545,24,
2022,176794147,181524546,18,
2022,176794151,181524548,24,
2022,176794153,181524550,24,
2022,176794157,181524554,16,
2022,176794160,181524557,3,
2022,176794161,181524558,17,
2022,176794162,181524559,3,
2022,176794165,181524562,1,
2022,176713772,181445096,3,
2022,176713773,181445097,18,
2022,176713775,181445099,24,
2022,176713776,181445099,24,
2022,176713779,181445102,24,
2022,176713785,181445108,16,
2022,176713786,181445109,24,
2022,176713787,181445110,15,
2022,176713790,181445113,15,
2022,176713796,181445119,3,
2022,176713799,181445122,16,
2022,176713799,181445123,16,
2022,176713816,181445140,3,
2022,176713817,181445141,18,
2022,176713818,181445142,24,
2022,176713819,181445142,24,
2022,176713822,181445145,24,
2022,176713824,181445148,1,
2022,176713825,181445149,21,
2022,176713830,181445154,1,
2022,176713831,181445155,24,
2022,176713834,181445158,1,
2022,176713837,181445160,24,
2022,177672574,182383704,24,
2022,177672574,182383705,24,
2022,177672574,182383706,24,
2022,177672576,182383707,18,
2022,177672577,182383708,18,
2022,177672581,182383712,18,
2022,177672583,182383714,3,
2022,177672588,182383719,18,
2022,177672595,182383725,1,
2022,177672614,182383743,24,
2022,177672615,182383744,3,
2022,177672618,182383746,1,
2022,177672625,182383752,18,
2022,177481221,182198858,3,
2022,177672626,182383753,26,
2022,177672627,182383754,3,
2022,177481222,182198859,24,
2022,177672630,182383756,1,
2022,177481225,182198861,1,
2022,177481233,182198869,3,
2022,177672641,182383767,24,
2022,177481236,182198872,21,
2022,182820451,187469776,16,
2022,177488147,182205704,24,
2022,182820455,187469780,18,
2022,182820456,187469781,17,
2022,182820456,187469782,17,
2022,182820457,187469781,19,
2022,182820457,187469782,19,
2022,182820458,187469783,3,
2022,182820459,187469784,24,
2022,182820460,187469785,24,
2022,182820463,187469787,3,
2022,182820463,187469788,3,
2022,182820464,187469787,3,
2022,182820464,187469788,3,
2022,182820465,187469789,3,
2022,182820467,187469791,3,
2022,182820470,187469794,18,
2022,182820472,187469796,26,
2022,177488148,182205704,24,
2022,177502389,182219508,3,
2022,182820473,187469797,24,
2022,182820475,187469799,1,
2022,182820476,187469800,6,
2022,182820479,187469803,3,
2022,182820480,187469804,3,
2022,177502393,182219512,24,
2022,177502396,182219515,24,
2022,177502404,182219522,13,
2022,177505545,182222704,13,
2022,177505547,182222706,1,
2022,161417494,166302385,18,
2022,182820482,187469806,17,
2022,182820483,187469807,18,
2022,182820484,187469808,1,
2022,182820485,187469809,3,
2022,182820488,187469812,18,
2022,182820489,187469813,3,
2022,182820491,187469815,3,
2022,182820493,187469817,24,
2022,182820493,187469818,24,
2022,181015713,185683550,24,
2022,181015714,185683551,19,
2022,181015714,185683552,19,
2022,181015715,185683551,19,
2022,181015715,185683552,19,
