data_year,victim_id,injury_id
2022,172045892,4
2022,172045894,5
2022,172045895,5
2022,172045896,5
2022,172045907,5
2022,172045940,5
2022,172045943,4
2022,173439552,5
2022,173439553,5
2022,173439555,4
2022,173439556,4
2022,173439562,4
2022,173439563,5
2022,173439565,5
2022,173439566,4
2022,173439568,5
2022,173439575,4
2022,173439578,4
2022,173439579,4
2022,173439580,5
2022,173439581,5
2022,173439585,5
2022,173439594,8
2022,173439600,5
2022,173439601,5
2022,173439616,5
2022,173439623,5
2022,173439632,5
2022,173439633,5
2022,178197044,4
2022,179958049,4
2022,169656642,5
2022,169656643,5
2022,173053887,4
2022,173053888,4
2022,171708778,5
2022,171708779,5
2022,168579690,4
2022,175022976,4
2022,175022980,5
2022,175022984,5
2022,168320081,5
2022,168470303,5
2022,171304775,5
2022,169579730,5
2022,175022990,4
2022,175022993,5
2022,175022994,4
2022,175023000,4
2022,175023018,4
2022,175023020,4
2022,175023026,5
2022,175023031,5
2022,175023032,4
2022,175023038,5
2022,175023039,4
2022,176518950,4
2022,176518951,5
2022,176518952,4
2022,176518953,4
2022,176518961,5
2022,176518962,5
2022,176518963,5
2022,176518966,4
2022,176518968,4
2022,176518970,5
2022,176518972,5
2022,176518975,3
2022,176518977,6
2022,176518981,5
2022,176518986,4
2022,176518987,4
2022,172000923,4
2022,176518991,6
2022,168320105,4
2022,176518994,5
2022,176518995,5
2022,168332538,4
2022,176519009,5
2022,176519010,4
2022,176519012,4
2022,176519025,5
2022,179969478,4
2022,179969484,4
2022,179969493,5
2022,179969494,4
2022,179969498,5
2022,179969502,4
2022,179969503,4
2022,179969510,5
2022,179969513,6
2022,179969514,5
